Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced_Cost_Estimate.csv,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,1182.6,14191.20,USD,Number of NAT Gateways (1)
Reduced_Cost_Estimate.csv,US East (N. Virginia),S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
Reduced_Cost_Estimate.csv,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Internet) 1 TB per month 
 Outbound (to: Amazon Cloud Front) 20 TB per month 
"
Reduced_Cost_Estimate.csv,US East (N. Virginia),Amazon RDS for PostgreSQL,0,2289.1059999999998,27469.27,USD,"Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Additional backup storage (5 TB)"
Reduced_Cost_Estimate.csv,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,1791.91,21502.92,USD," Inbound (from: Internet) 20 TB per month 
 Outbound (to: Internet) 20 TB per month 
 Intra-Region 0 TB per month 
"
Reduced_Cost_Estimate.csv,US East (N. Virginia),Amazon EC2,0,574.8199999999999,6897.84,USD,"Operating system (Linux), Quantity (24), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t2.medium)"
Reduced_Cost_Estimate.csv,US East (N. Virginia),Elastic Load Balancing,0,32.870000000000005,394.44,USD,Number of Application Load Balancers (2)



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
